path	bytes	lines	class	audit_status	flags
demo/model-inference/backend-king-php/public/login.html	15886	509	source	manual_audit_required	background,security
demo/model-inference/backend-king-php/run-dev.sh	3165	93	script	low_signal_inventory_only	
demo/model-inference/backend-king-php/scripts/demo-walkthrough.sh	6727	152	script	low_signal_inventory_only	
demo/model-inference/backend-king-php/scripts/install-embedding-model.sh	3903	95	script	low_signal_inventory_only	
demo/model-inference/backend-king-php/scripts/install-llama-runtime.sh	4618	113	script	manual_audit_required	fallback
demo/model-inference/backend-king-php/scripts/run-proxy.sh	4696	124	script	low_signal_inventory_only	
demo/model-inference/backend-king-php/scripts/seed-model.php	4807	133	script	low_signal_inventory_only	
demo/model-inference/backend-king-php/scripts/seed-users.sh	1268	30	script	manual_audit_required	repair
demo/model-inference/backend-king-php/server.php	19550	523	source	manual_audit_required	capabilities
demo/model-inference/backend-king-php/support/database.php	2701	84	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/support/llama_cpp_worker.php	13162	384	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/support/object_store.php	2785	69	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/support/semantic_dns.php	4516	138	source	manual_audit_required	capabilities
demo/model-inference/backend-king-php/support/token_frame.php	10841	278	source	manual_audit_required	keyframe_delta
demo/model-inference/backend-king-php/tests/auth-endpoint-contract.php	11386	202	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/auth-endpoint-contract.sh	179	5	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/auth-middleware-contract.php	6421	123	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/auth-middleware-contract.sh	181	5	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/auth-seed-contract.php	7174	126	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/auth-seed-contract.sh	175	5	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/auth-store-contract.php	12207	239	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/auth-store-contract.sh	178	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/chat-memory-contract.php	9309	195	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/chat-memory-contract.sh	179	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/chunk-persistence-contract.php	6155	127	test	manual_audit_required	fallback
demo/model-inference/backend-king-php/tests/chunk-persistence-contract.sh	185	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/contract-catalog-parity-contract.php	21860	373	test	manual_audit_required	keyframe_delta
demo/model-inference/backend-king-php/tests/contract-catalog-parity-contract.sh	191	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/conversation-ownership-contract.php	11096	217	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/conversation-ownership-contract.sh	188	5	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/conversation-store-contract.php	11217	226	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/conversation-store-contract.sh	186	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/conversations-endpoint-contract.php	8425	142	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/conversations-endpoint-contract.sh	190	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/cosine-similarity-contract.php	4743	110	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/cosine-similarity-contract.sh	185	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/discover-envelope-contract.php	10329	234	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/discover-envelope-contract.sh	185	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/discovery-telemetry-contract.php	6304	157	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/discovery-telemetry-contract.sh	187	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/dns-semantic-query-contract.php	5077	119	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/dns-semantic-query-contract.sh	186	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/document-ingest-contract.php	6892	143	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/document-ingest-contract.sh	183	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/embedding-generation-contract.php	7534	200	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/embedding-generation-contract.sh	188	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/embedding-model-registry-contract.php	5830	160	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/embedding-model-registry-contract.sh	192	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/embedding-request-envelope-contract.php	6954	151	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/embedding-request-envelope-contract.sh	194	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/embedding-worker-contract.php	4736	132	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/embedding-worker-contract.sh	184	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/graph-expand-contract.php	7366	136	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/graph-expand-contract.sh	180	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/graph-store-contract.php	7851	168	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/graph-store-contract.sh	179	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/hybrid-discover-contract.php	10563	210	test	manual_audit_required	capabilities
demo/model-inference/backend-king-php/tests/hybrid-discover-contract.sh	183	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/infer-http-nonstreaming-contract.php	13754	266	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/infer-http-nonstreaming-contract.sh	1727	40	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/infer-ws-streaming-contract.php	8931	176	test	manual_audit_required	keyframe_delta
demo/model-inference/backend-king-php/tests/infer-ws-streaming-contract.sh	1484	40	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/inference-request-envelope-contract.php	15595	347	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/inference-request-envelope-contract.sh	194	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/inference-routing-contract.php	9131	236	test	manual_audit_required	fallback
demo/model-inference/backend-king-php/tests/inference-routing-contract.sh	185	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/inference-telemetry-contract.php	15330	268	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/inference-telemetry-contract.sh	1489	40	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/llama-cpp-worker-contract.php	7971	140	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/llama-cpp-worker-contract.sh	1339	32	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/mcp-pick-contract.php	4775	103	test	manual_audit_required	capabilities
demo/model-inference/backend-king-php/tests/mcp-pick-contract.sh	176	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/model-fit-selector-contract.php	14898	236	test	manual_audit_required	capabilities,fallback
demo/model-inference/backend-king-php/tests/model-fit-selector-contract.sh	186	7	test	manual_audit_required	
