path	bytes	lines	class	flags	audit_status
demo/video-chat/frontend-vue/src/domain/calls/admin/CallsView.vue	12519	475	source	background,reconnect,fallback	manual_audit_required
demo/video-chat/scripts/prod-debug.sh	22837	462	script	sfu,background,reconnect,fallback	manual_audit_required
demo/video-chat/frontend-vue/tests/e2e/online-sfu-hd-acceptance.mjs	15978	434	test	sfu,security,backpressure,fallback	manual_audit_required
demo/video-chat/frontend-vue/tests/standalone/kingrt-three-user-regression-harness.mjs	17965	433	test	gossip,background,security,reconnect,backpressure,regression,repair,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/sfu/lifecycle.ts	16416	430	source	sfu,security,reconnect,backpressure,capabilities,fallback,repair,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/tests/e2e/production-socket-proxy-budget.mjs	16850	428	test	sfu,backpressure,quality,fallback,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/src/modules/localization/infrastructureMessages.js	24122	427	source	sfu,background,reconnect,backpressure,capabilities,orchestrator,repair	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/gossip-media-carrier-integration-smoke-contract.mjs	19248	416	test	sfu,gossip,security,backpressure,fallback,repair,keyframe_delta	manual_audit_required
demo/video-chat/backend-king-php/http/module_realtime_gossip_media_relay.php	14737	412	source	sfu,gossip,security	manual_audit_required
demo/video-chat/frontend-vue/src/components/GossipHarness.vue	13968	407	source	sfu,gossip,background,fallback,keyframe_delta	manual_audit_required
demo/video-chat/backend-king-php/domain/realtime/realtime_sfu_frame_buffer.php	14081	406	source	sfu,backpressure,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/background/diagnostics/runtimeDiagnostics.js	15502	406	source	background,quality,fallback	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/client-capabilities-media-plan-contract.mjs	14925	405	test	security,capabilities,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/src/modules/users/pages/overview/useGossipNetworkMap.ts	14311	403	source	sfu,gossip,fallback,repair	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/local/publisherFrameDispatch.ts	12313	399	source	sfu,gossip,backpressure,fallback,repair,keyframe_delta	manual_audit_required
demo/video-chat/backend-king-php/domain/realtime/realtime_client_capabilities.php	14189	385	source	security,capabilities,fallback	manual_audit_required
demo/video-chat/frontend-vue/src/lib/gossipmesh/rolloutGate.ts	16573	381	source	sfu,gossip,security,backpressure,fallback,repair,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/call-screenshare-participant-contract.mjs	21964	367	test	sfu,security,reconnect,fallback,repair,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/sfu-publisher-backpressure-controller-contract.mjs	18105	365	test	sfu,reconnect,backpressure,repair,keyframe_delta	manual_audit_required
demo/model-inference/scripts/rag-smoke.sh	13927	359	script	regression,capabilities,orchestrator	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/callApps/callAppDiagnosticTailBridge.js	13231	341	source	sfu,reconnect,fallback,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/src/lib/sfu/sfuMessageHandler.ts	15335	338	source	sfu,security,backpressure,quality,fallback,repair,keyframe_delta	manual_audit_required
demo/video-chat/backend-king-php/domain/realtime/realtime_sfu_iibin.php	13412	327	source	sfu,backpressure,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/foreground-reconnect-contract.mjs	20826	325	test	sfu,background,reconnect,repair	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/iam-call-access-ci-wire-contract.mjs	17606	319	test	sfu,gossip,background,security,reconnect,fallback	manual_audit_required
demo/video-chat/frontend-vue/vite.config.js	8987	311	other	sfu,gossip,background,security	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/media/securityCore.ts	12485	302	source	security,capabilities,keyframe_delta	manual_audit_required
